CycleID,Start Time,End Time,Total Time
1,23/06/2023 12:00:57,23/06/2023 12:02:54,116.8
2,23/06/2023 12:04:29,23/06/2023 12:07:09,160
3,23/06/2023 12:08:41,23/06/2023 12:10:32,111
4,23/06/2023 12:12:15,23/06/2023 12:14:06,111.6
5,23/06/2023 12:16:11,23/06/2023 12:17:51,100.2
6,23/06/2023 12:19:17,23/06/2023 12:20:53,96.4
7,23/06/2023 12:22:01,23/06/2023 12:25:19,198
8,23/06/2023 12:26:50,23/06/2023 12:28:27,97.6
9,23/06/2023 12:29:26,23/06/2023 12:31:00,93.8
10,23/06/2023 12:32:25,23/06/2023 12:35:22,177
11,23/06/2023 12:36:31,23/06/2023 12:38:06,95.6
12,23/06/2023 12:39:21,23/06/2023 12:40:53,92
13,23/06/2023 12:42:04,23/06/2023 12:43:37,93.2
14,23/06/2023 12:44:49,23/06/2023 12:46:21,92.4
15,23/06/2023 12:47:53,23/06/2023 12:49:41,108
16,23/06/2023 12:50:52,23/06/2023 13:01:40,647.8
17,23/06/2023 13:02:51,23/06/2023 13:04:05,74.2
18,23/06/2023 13:05:36,23/06/2023 13:10:20,283.8
19,23/06/2023 13:15:40,23/06/2023 13:16:42,62
20,23/06/2023 13:17:54,23/06/2023 13:18:45,51.2
21,23/06/2023 13:20:04,23/06/2023 13:21:07,63.6
22,23/06/2023 13:22:11,23/06/2023 13:23:12,61
23,23/06/2023 13:24:49,23/06/2023 13:25:49,60.2
24,23/06/2023 13:27:15,23/06/2023 13:32:35,320.6
25,23/06/2023 13:34:09,23/06/2023 13:35:06,57.2
26,23/06/2023 13:36:18,23/06/2023 13:37:18,59.8
27,23/06/2023 13:39:04,23/06/2023 13:41:06,122
28,23/06/2023 13:47:33,23/06/2023 13:50:03,149.8
28,23/06/2023 13:47:33,23/06/2023 13:50:03,149.8
29,23/06/2023 13:54:05,23/06/2023 13:55:45,100.6
30,23/06/2023 13:57:10,23/06/2023 13:58:05,55.2
